	SamID	Number	chrom	loc.start	loc.end	seg.median	seg.sd	num.mark	Call	subsegment	segment	AvgBAF
1	CL001	1	1	10004	167468191	-0.010335544	NA	29799	N02.BalHet	1	1.1.1	0.484063814
2	CL001	1	1	167495768	167542254	-5.051314	2.769381645	5	DoubleLoss	2	1.1.2	0.323956281
3	CL001	1	1	167555394	195001376	0.012212148	0.156087031	5015	N02.BalHet	3	1.1.3	0.486376772
4	CL001	1	1	195022923	195077621	-0.5873039	2.052783215	6	N01.Homozygous	4	1.1.4	0.389360488
5	CL001	1	1	195087039	243702682	-0.008064188	0.149320616	11419	N02.BalHet	5	1.1.5	0.485652734
6	CL001	1	1	243703662	243714349	-0.6036727	0.284071887	8	N01.Homozygous	6	1.1.6	0.036051953
7	CL001	1	1	243716464	247185943	-0.0081192	0.155917862	856	N02.BalHet	7	1.1.7	0.484823822
8	CL001	1	2	8856	4176616	-0.017180125	0.145074081	1190	N02.BalHet	1	1.2.1	0.483058841
9	CL001	1	2	4191253	4200019	-4.543395	1.42217103	7	DoubleLoss	2	1.2.2	0.421952957
10	CL001	1	2	4201943	82456901	-0.0021513	0.174950796	18265	N02.BalHet	3	1.2.3	0.486740109
11	CL001	1	2	82466631	83210688	0.08298124	0.153841565	131	N02.Homozygous	4	1.2.4	0.23394102
12	CL001	1	2	83237213	134156368	-0.003640509	0.14988954	8274	N02.BalHet	5	1.2.5	0.483242381
13	CL001	1	2	134156956	135138028	-0.01585166	0.142581916	303	N02.Homozygous	6	1.2.6	0.097064335
14	CL001	1	2	135148162	172023457	0.012703587	0.172297914	7092	N02.BalHet	7	1.2.7	0.487972812
15	CL001	1	2	172030142	172816689	-0.02297777	0.139656851	145	N02.Homozygous	8	1.2.8	0.363435954
16	CL001	1	2	172821389	208057503	0.003984361	0.159595834	6235	N02.BalHet	9	1.2.9	0.488112471
17	CL001	1	2	208061364	208066083	-5.874339	0.982942466	8	DoubleLoss	10	1.2.10	0.345716009
18	CL001	1	2	208071307	226842760	0.002271121	0.152522182	3870	N02.BalHet	11	1.2.11	0.486524487
19	CL001	1	2	226845369	227265431	-0.0038955	0.163459	101	N02.Homozygous	12	1.2.12	0.5
20	CL001	1	2	227266510	242692820	-0.021262975	0.147229603	3896	N02.BalHet	13	1.2.13	0.48420772
21	CL001	1	3	38411	1756739	0.031281384	NA	641	N02.BalHet	1	1.3.1	0.487022821
22	CL001	1	3	1757524	1764200	-0.3302147	0.228071282	5	N01.Homozygous	2	1.3.2	0.5
23	CL001	1	3	1764514	39641264	0.001117125	0.160738784	9701	N02.BalHet	3	1.3.3	0.486158968
24	CL001	1	3	39643206	40286329	-0.02566417	0.153385505	115	N02.Homozygous	4	1.3.4	0.077454277
25	CL001	1	3	40314657	65171163	-0.01043681	0.152746232	5084	N02.BalHet	5	1.3.5	0.487036571
26	CL001	1	3	65174139	65187636	-0.4873463	0.258989807	8	N01.Homozygous	6	1.3.6	0.5
27	CL001	1	3	65190844	131628231	0.014802984	0.167393293	11563	N02.BalHet	7	1.3.7	0.486637681
28	CL001	1	3	131630022	132772981	-0.011041195	0.130231619	204	N02.Homozygous	8	1.3.8	0.033271548
29	CL001	1	3	132773321	163989980	0.003998048	0.151724874	6336	N02.BalHet	9	1.3.9	0.4870549
30	CL001	1	3	163992511	164123191	0.33375255	0.22545285	14	N04.Homozygous	10	1.3.10	0.5
31	CL001	1	3	164132052	191217916	0.00965908	0.15281933	5579	N02.BalHet	11	1.3.11	0.487063202
32	CL001	1	3	191220845	191221750	-5.132282	0.23714941	5	DoubleLoss	12	1.3.12	0.207783996
33	CL001	1	3	191227315	195847296	-0.009620225	0.154331975	1015	N02.BalHet	13	1.3.13	0.485188404
34	CL001	1	3	195859786	195870680	0.359797	0.341280438	5	NoCall	14	1.3.14	0.049570719
35	CL001	1	3	195879622	199402546	-0.03219837	0.150460268	598	N02.BalHet	15	1.3.15	0.475626451
36	CL001	1	4	7764	19120605	-0.01751617	0.195496984	4700	N02.BalHet	1	1.4.1	0.484448687
37	CL001	1	4	19124304	19131054	-4.561115	3.063540821	5	DoubleLoss	2	1.4.2	0.339009789
38	CL001	1	4	19144341	57781793	0.017795233	0.159436217	6996	N02.BalHet	3	1.4.3	0.487039234
39	CL001	1	4	57789643	58299738	0.002575401	0.140662669	152	N02.Homozygous	4	1.4.4	0.159402284
40	CL001	1	4	58301796	58403075	0.12684055	0.110517666	26	N03.UnbalHet	5	1.4.5	0.488009305
41	CL001	1	4	58409164	58422658	-0.58460615	1.423569905	8	NoCall	6	1.4.6	0.304124923
42	CL001	1	4	58443236	60571615	0.080444675	0.177497061	317	N02.BalHet	7	1.4.7	0.490620756
43	CL001	1	4	60584765	61206591	0.09635633	0.142445606	114	N03.Homozygous	8	1.4.8	0.490671998
44	CL001	1	4	61211498	63345748	0.080929833	0.165845571	343	N02.BalHet	9	1.4.9	0.486325433
45	CL001	1	4	63352170	63357704	-5.709865	1.766781319	5	DoubleLoss	10	1.4.10	0.332051717
46	CL001	1	4	63367153	64350772	0.103683558	0.19160321	125	N02.BalHet	11	1.4.11	0.470416193
47	CL001	1	4	64380191	64392223	-5.027408	1.28115835	7	DoubleLoss	12	1.4.12	0.276323854
48	CL001	1	4	64398956	64653543	0.093599975	0.181492442	16	N03.Homozygous	13	1.4.13	0.5
49	CL001	1	4	64673339	69085989	0.054527427	0.156913574	752	N02.BalHet	14	1.4.14	0.473425671
50	CL001	1	4	69087412	69163188	-0.274107352	0.34942685	23	N01.Homozygous	15	1.4.15	0.03437625
51	CL001	1	4	69179871	69913518	0.08704962	0.186158535	139	N02.Homozygous	16	1.4.16	0.386470642
52	CL001	1	4	69922026	110364767	0.015947046	0.168392044	7438	N02.BalHet	17	1.4.17	0.485374429
53	CL001	1	4	110370142	111099813	0.00246206	0.143855151	126	N02.Homozygous	18	1.4.18	0.370444549
